station,date,type,name,remarks
WARM,2014-10-29T21:40Z,ANT,TPSCR.G3+M2     TPSH, 
WIL2,2010-12-02T16:21Z,REC,TPS ODYSSEY_E       , 
WIL2,2015-09-10T00:00Z,REC,LEICA GR50          , 
WIL2,2010-12-02T16:21Z,ANT,TPSCR.G3+M2     TPSH, 
WILL,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
WILL,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
WSRA,1997-05-16T00:00Z,REC,ROGUE SNR-12        ,Modif multiple items
WSRA,2000-01-06T00:00Z,REC,AOA SNR-12 ACT      , 
WSRA,2000-04-28T00:00Z,REC,TRIMBLE 4700        , 
WSRA,2015-02-11T00:00Z,REC,TRIMBLE NETR9       , 
WSRA,1997-05-16T12:00Z,ANT,AOAD/M_T        DUTD, 
WSRA,1998-03-17T15:09Z,ANT,AOAD/M_T        DUTD, 
WSRT,1997-06-01T12:00Z,REC,ROGUE SNR-12 RM     ,Added multiple items
WSRT,2000-01-05T14:46Z,REC,AOA SNR-12 ACT      , 
WSRT,2017-11-27T17:00Z,REC,TRIMBLE NETR9       , 
WSRT,2018-12-17T00:00Z,REC,SEPT POLARX5        , 
WSRT,1997-05-16T12:00Z,ANT,AOAD/M_T        DUTD, 
WSRT,1998-03-17T15:09Z,ANT,AOAD/M_T        DUTD, 
WTZR,2007-01-01T00:00Z,REC,TPS E_GGD           , 
WTZR,2007-05-30T00:00Z,REC,TPS NETG3           , 
WTZR,2008-01-27T00:00Z,REC,LEICA GRX1200GGPRO  , 
WTZR,2011-04-15T00:00Z,REC,LEICA GRX1200+GNSS  , 
WTZR,2014-02-14T00:00Z,REC,LEICA GR25          , 
WTZR,2017-10-25T00:00Z,REC,LEICA GR50          , 
WTZR,2007-01-01T00:00Z,ANT,AOAD/M_T        NONE, 
WTZR,2009-01-20T00:00Z,ANT,LEIAR25         LEIT, 
WTZR,2010-07-01T00:00Z,ANT,LEIAR25.R3      LEIT, 
ZAND,2014-02-21T10:23Z,REC,TPS EG3_OEM         , 
ZAND,2014-02-21T10:23Z,ANT,TPSCR.G5        TPSH, 
ZDVN,2014-02-25T10:06Z,REC,TPS EG3_OEM         , 
ZDVN,2014-02-25T10:06Z,ANT,TPSCR.G5        TPSH, 
ZEER,2014-03-30T00:00Z,REC,TPS EG3_OEM         , 
ZEER,2014-03-30T00:00Z,ANT,TPSCR.G5        TPSH, 
ZIMM,2007-01-01T00:00Z,REC,TRIMBLE NETRS       , 
ZIMM,2015-04-27T09:01Z,REC,TRIMBLE NETR9       , 
ZIMM,2007-01-01T00:00Z,ANT,TRM29659.00     NONE, 
ZOET,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
ZOET,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
ZWO2,2008-11-24T18:19Z,REC,TPS ODYSSEY_E       , 
ZWO2,2016-06-11T00:00Z,REC,TRIMBLE NETR9       , 
ZWO2,2008-11-24T18:19Z,ANT,TPSCR.G3+M2     TPSH, 
ZWOL,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
ZWOL,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
