station,date,type,name,remarks
BALL,2017-05-18T00:00Z,REC,TPS NET-G5          , 
BALL,2017-07-01T00:00Z,REC,TPS LEGACY          , 
BALL,2002-12-06T00:00Z,ANT,GPPNULLANTENNA      , 
BALL,2006-05-14T00:00Z,ANT,TPSCR3_GGD      CONE,NAM dataset
BALL,2007-09-23T00:00Z,   ,TPSCR3_GGD      CONE,06GPS dataset 
BALL,2016-08-18T10:53Z,ANT,TPSCR.G5        TPSH, 
BEIL,2002-11-18T00:00Z,REC,GNREF               , 
BEIL,2007-09-23T00:00Z,REC,TPS GB-1000         , 
BEIL,2014-09-20T00:00Z,REC,TPS E_GGD           , 
BEIL,2018-10-08T00:00Z,REC,TPS NET-G5          , 
BEIL,2002-11-18T00:00Z,ANT,GPPNULLANTENNA  NONE,Modif by HM
BEIL,2007-09-23T00:00Z,ANT,TPSCR3_GGD      CONE, 
BEIL,2015-12-23T00:00Z,ANT,TPSCR.G5        TPSH, 
BORJ,2007-01-03T08:10Z,REC,JPS LEGACY          , 
BORJ,2015-08-12T00:00Z,REC,JAVAD TRE_3 DELTA   , 
BORJ,2007-01-03T08:10Z,ANT,TPSCR3_GGD      CONE, 
BORJ,2010-09-02T00:00Z,ANT,LEIAR25.R3      LEIT, 
BORK,2007-01-01T00:00Z,REC,TRIMBLE 4700        , 
BORK,2007-01-01T00:00Z,ANT,TRM29659.00     SNOW, 
BOXM,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
BOXM,2016-09-17T00:00Z,REC,LEICA GR50          , 
BOXM,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
BOXM,2012-02-24T00:00Z,ANT,NAX3G+C+M       NONE, 
BOXM,2015-07-02T00:00Z,ANT,LEIAR20+S10     LEIM, 
BRD2,2009-04-15T14:21Z,REC,TPS ODYSSEY_E       , 
BRD2,2014-07-18T00:00Z,REC,LEICA GR25          , 
BRD2,2016-06-21T00:00Z,REC,TRIMBLE NETR9       , 
BRD2,2009-04-15T14:21Z,ANT,TPSCR.G3+M2     TPSH, 
BRDA,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
BRDA,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
BRUS,2007-01-02T00:00Z,REC,ASHTECH Z-XII3T     , 
BRUS,2007-01-02T00:00Z,ANT,ASH701945B_M    NONE, 
BRUX,2012-02-10T00:00Z,REC,SEPT POLARX4TR      , 
BRUX,2012-02-10T00:00Z,ANT,JAVRINGANT_DM   NONE, 
CABW,2007-01-01T00:00Z,REC,TRIMBLE 5700        , 
CABW,2007-01-01T00:00Z,ANT,TRM41249.00     NONE, 
D200,2017-07-05T10:18Z,REC,TPS EG3_OEM         , 
D200,2017-07-05T10:18Z,ANT,TPSCR.G3        TPSH, 
DELF,2007-01-01T00:00Z,REC,TRIMBLE 4700        , 
DELF,2015-11-27T17:00Z,REC,TPS ODYSSEY_E       , 
DELF,2007-01-01T00:00Z,ANT,TRM29659.00     UNAV, 
DELF,2016-07-13T14:00Z,ANT,ECC CHANGE, 
DLF1,2011-04-16T00:00Z,REC,TRIMBLE NETR9       , 
